Provider EPG,Consumer EPG,Consumer VRF,Contract,Filter,Hits,TCAM Usage
tn-ab21/ctx-ab21_ctx02/any,ab21_ctx02/any,tn-ab21/ctx-ab21_ctx02,tn-ab21/ctx-ab21_ctx02,sys/actrl/filt-implicit,0,4
tn-common/ctx-default/any,default/any,tn-common/ctx-default,tn-common/ctx-default,sys/actrl/filt-implarp,0,2
tn-sf20/ctx-sf20_ctx01/any,sf20_ctx01/any,tn-sf20/ctx-sf20_ctx01,tn-sf20/ctx-sf20_ctx01,sys/actrl/filt-implicit,0,4
tn-sf20/ctx-sf20_ctx02/any,sf20_ctx02/any,tn-sf20/ctx-sf20_ctx02,tn-sf20/ctx-sf20_ctx02,sys/actrl/filt-implicit,0,4
tn-sj14/BD-sj14_ctx02_bd02,sj14_ctx02/any,tn-sj14/ctx-sj14_ctx02,tn-sj14/ctx-sj14_ctx02,sys/actrl/filt-implicit,0,1
tn-ab21/BD-ab21_ctx01_bd01,ab21_ctx01/any,tn-ab21/ctx-ab21_ctx01,tn-ab21/ctx-ab21_ctx01,sys/actrl/filt-implicit,0,2
tn-sf20/ctx-sf20_ctx01/any,sf20_ctx01/any,tn-sf20/ctx-sf20_ctx01,tn-sf20/ctx-sf20_ctx01,sys/actrl/filt-implarp,0,2
tn-bell03/ap-ctx2-ap1/epg-ctx2-bd1-epg2,ctx2-bd2-epg2,tn-bell03/ctx-ctx2,tn-bell03/brc-cont1,tn-bell03/flt-fil1,0,2
tn-sj14/ctx-sj14_ctx02/any,sj14_ctx02/any,tn-sj14/ctx-sj14_ctx02,tn-sj14/ctx-sj14_ctx02,sys/actrl/filt-implicit,0,4
tn-bell04/ctx-ctx1/any,ctx1/any,tn-bell04/ctx-ctx1,tn-bell04/ctx-ctx1,sys/actrl/filt-implarp,0,1
tn-sj14/ctx-sj14_ctx01/any,sj14_ctx01/any,tn-sj14/ctx-sj14_ctx01,tn-sj14/ctx-sj14_ctx01,sys/actrl/filt-implarp,0,2
tn-abc05/ctx-abc05_ctx01/any,abc05_ctx01/any,tn-abc05/ctx-abc05_ctx01,tn-abc05/ctx-abc05_ctx01,sys/actrl/filt-implicit,0,4
tn-bell04/BD-ctx2-bd2,ctx2/any,tn-bell04/ctx-ctx2,tn-bell04/ctx-ctx2,sys/actrl/filt-implicit,0,1
tn-sj15/ap-sj15_ctx01_bd02_ap/epg-sj15_ctx01_bd02_epg01,sj15_ctx01_bd01_epg02,tn-sj15/ctx-sj15_ctx01,tn-sj15/brc-sj15_ctx01_cont1,tn-sj15/flt-fil1,0,2
tn-sf19/ctx-sf19_ctx01/any,sf19_ctx01/any,tn-sf19/ctx-sf19_ctx01,tn-sf19/ctx-sf19_ctx01,sys/actrl/filt-implicit,0,4
tn-sf20/BD-sf20_ctx01_bd02,sf20_ctx01/any,tn-sf20/ctx-sf20_ctx01,tn-sf20/ctx-sf20_ctx01,sys/actrl/filt-implicit,0,1
tn-sj15/ap-sj15_ctx02_bd01_ap/epg-sj15_ctx02_bd01_epg01,sj15_ctx02_bd01_epg02,tn-sj15/ctx-sj15_ctx02,tn-sj15/brc-sj15_ctx02_cont1,tn-sj15/flt-fil1,0,2
tn-sj12/ctx-sj12_ctx02/any,sj12_ctx02/any,tn-sj12/ctx-sj12_ctx02,tn-sj12/ctx-sj12_ctx02,sys/actrl/filt-implarp,0,2
tn-corp06/ctx-ctx1/any,ctx1/any,tn-corp06/ctx-ctx1,tn-corp06/ctx-ctx1,sys/actrl/filt-implarp,0,3
tn-sj15/ctx-sj15_ctx02/any,sj15_ctx02/any,tn-sj15/ctx-sj15_ctx02,tn-sj15/ctx-sj15_ctx02,sys/actrl/filt-implicit,0,4
tn-sf16/ap-sf16_ctx01_bd01_ap/epg-sf16_ctx01_bd01_epg01,sf16_ctx01_bd01_epg02,tn-sf16/ctx-sf16_ctx01,tn-sf16/brc-sf16_ctx01_cont1,tn-sf16/flt-fil1,0,2
tn-abc01/BD-abc01_ctx01_bd03,abc01_ctx01/any,tn-abc01/ctx-abc01_ctx01,tn-abc01/ctx-abc01_ctx01,sys/actrl/filt-implicit,0,2
tn-sf19/ap-sf19_ctx02_bd02_ap/epg-sf19_ctx02_bd02_epg01,sf19_ctx02_bd02_epg02,tn-sf19/ctx-sf19_ctx02,tn-sf19/brc-sf19_ctx02_cont1,tn-sf19/flt-fil1,0,2
tn-sf20/ap-sf20_ctx01_bd01_ap/epg-sf20_ctx01_bd01_epg01,sf20_ctx01_bd01_epg02,tn-sf20/ctx-sf20_ctx01,tn-sf20/brc-sf20_ctx01_cont1,tn-sf20/flt-fil1,0,2
tn-ab21/ctx-ab21_ctx01/any,ab21_ctx01/any,tn-ab21/ctx-ab21_ctx01,tn-ab21/ctx-ab21_ctx01,sys/actrl/filt-implarp,0,2
tn-abc01/ctx-abc01_ctx01/any,abc01_ctx01/any,tn-abc01/ctx-abc01_ctx01,tn-abc01/ctx-abc01_ctx01,sys/actrl/filt-implicit,0,6
tn-sj11/BD-sj11_ctx02_bd02,sj11_ctx02/any,tn-sj11/ctx-sj11_ctx02,tn-sj11/ctx-sj11_ctx02,sys/actrl/filt-implicit,0,1
tn-sf19/ap-sf19_ctx02_bd02_ap/epg-sf19_ctx02_bd02_epg01,sf19_ctx02_bd01_epg02,tn-sf19/ctx-sf19_ctx02,tn-sf19/brc-sf19_ctx02_cont1,tn-sf19/flt-fil1,0,2
tn-bell03/ctx-ctx2/any,ctx2/any,tn-bell03/ctx-ctx2,tn-bell03/ctx-ctx2,sys/actrl/filt-implicit,0,2
tn-sf18/ap-sf18_ctx01_bd01_ap/epg-sf18_ctx01_bd01_epg01,sf18_ctx01/any,tn-sf18/ctx-sf18_ctx01,tn-sf18/taboo-sf18_tb02,tn-sf18/flt-tbfil2,0,2
tn-sf18/BD-sf18_ctx02_bd01,sf18_ctx02/any,tn-sf18/ctx-sf18_ctx02,tn-sf18/ctx-sf18_ctx02,sys/actrl/filt-implicit,0,1
tn-bell02/ctx-ctx1/any,ctx1/any,tn-bell02/ctx-ctx1,tn-bell02/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-sf16/ctx-sf16_ctx02/any,sf16_ctx02/any,tn-sf16/ctx-sf16_ctx02,tn-sf16/ctx-sf16_ctx02,sys/actrl/filt-implicit,0,4
tn-sj12/ctx-sj12_ctx01/any,sj12_ctx01/any,tn-sj12/ctx-sj12_ctx01,tn-sj12/ctx-sj12_ctx01,sys/actrl/filt-implarp,0,2
tn-abc09/ctx-abc09_ctx01/any,abc09_ctx01/any,tn-abc09/ctx-abc09_ctx01,tn-abc09/ctx-abc09_ctx01,sys/actrl/filt-implicit,0,6
tn-sf19/ap-sf19_ctx01_bd01_ap/epg-sf19_ctx01_bd01_epg01,sf19_ctx01_bd01_epg02,tn-sf19/ctx-sf19_ctx01,tn-sf19/brc-sf19_ctx01_cont1,tn-sf19/flt-fil1,0,2
tn-corp09/ctx-ctx1/any,ctx1/any,tn-corp09/ctx-ctx1,tn-corp09/ctx-ctx1,sys/actrl/filt-implicit,0,6
tn-abc04/ctx-abc04_ctx01/any,abc04_ctx01/any,tn-abc04/ctx-abc04_ctx01,tn-abc04/ctx-abc04_ctx01,sys/actrl/filt-implicit,0,6
tn-bell05/ctx-ctx1/any,ctx1/any,tn-bell05/ctx-ctx1,tn-bell05/ctx-ctx1,sys/actrl/filt-implicit,0,2
